order_id,customer_id,product_id,quantity,order_date,status
1,30,31,1,2026-06-20,Delivered
2,60,20,11,2026-02-05,Delivered
3,39,32,2,2026-04-18,Pending
4,48,35,7,2026-03-14,Cancelled
5,63,40,7,2026-01-23,Pending
6,57,16,6,2026-06-18,Cancelled
7,46,4,7,2026-04-04,Cancelled
8,59,6,11,2026-01-02,Delivered
9,17,37,4,2026-04-19,Cancelled
10,30,22,3,2026-01-09,Delivered
11,17,35,5,2026-02-22,Delivered
12,2,23,4,2026-06-01,Delivered
13,17,27,9,2026-02-16,Delivered
14,14,29,9,2026-01-24,Cancelled
15,39,30,11,2026-01-16,Pending
16,14,32,12,2026-02-03,Delivered
17,9,9,5,2026-06-13,Pending
18,38,30,9,2026-07-04,Delivered
19,28,28,8,2026-07-11,Pending
20,54,7,6,2026-06-22,Delivered
21,61,5,2,2026-02-14,Cancelled
22,48,9,9,2026-06-22,Delivered
23,55,4,5,2026-05-12,Pending
24,28,10,11,2026-04-28,Cancelled
25,48,8,5,2026-04-26,Pending
26,4,39,11,2026-05-01,Cancelled
27,40,22,6,2026-03-28,Cancelled
28,52,5,3,2026-01-03,Delivered
29,49,27,8,2026-03-12,Delivered
30,11,4,3,2026-01-22,Pending
31,55,32,10,2026-07-09,Pending
32,15,23,7,2026-05-22,Pending
33,40,3,4,2026-01-01,Delivered
34,18,17,5,2026-02-01,Pending
35,23,9,7,2026-04-17,Cancelled
37,41,37,7,2026-07-23,Delivered
38,15,26,1,2026-03-26,Pending
39,47,6,7,2026-04-14,Pending
40,11,26,5,2026-06-08,Delivered
41,10,33,11,2026-04-25,Cancelled
42,19,16,2,2026-05-07,Delivered
43,10,12,11,2026-08-25,Pending
44,58,37,11,2026-06-28,Delivered
45,20,29,2,2026-08-21,Delivered
46,8,23,9,2026-05-15,Delivered
47,48,19,2,2026-02-20,Pending
48,60,38,9,2026-01-15,Pending
49,25,21,10,2026-03-02,Cancelled
50,44,6,9,2026-03-02,Pending
51,57,34,9,2026-03-12,Delivered
52,50,27,6,2026-01-26,Delivered
53,9,22,2,2026-07-10,Cancelled
54,20,22,2,2026-03-12,Cancelled
