order_id,customer_id,product_id,quantity,order_date,status
1,30,31,1,20-06-2026,Delivered
2,60,20,11,05/02/2026,Delivered
3,39,32,2,2026-04-18,Pending
4,48,35,7,14-03-2026,cancelled
5,63,40,7,23/01/2026,Pending
6,57,16,6,2026-06-18,Cancelled
7,46,4,7,04/04/2026,cancelled
8,59,6,11,2026-01-02,delivered
9,17,37,4,2026-04-19,cancelled
10,30,22,3,09-01-2026,delivered
11,17,35,5,2026-02-22,delivered
12,2,23,4,01-06-2026,Delivered
13,17,27,9,2026-02-16,DELIVERED
14,14,29,9,2026-01-24,cancelled
15,39,30,11,2026-01-16,Pending
16,14,32,12,03/02/2026,delivered
17,9,9,5,13-06-2026,pending
18,38,30,9,04-07-2026,Delivered
19,28,28,8,2026-07-11,Pending
20,54,7,6,22/06/2026,delivered
21,61,5,2,2026-02-14,Cancelled
22,48,9,9,2026-06-22,DELIVERED
23,55,4,5,12-05-2026,pending
24,28,10,11,28/04/2026,cancelled
25,48,8,5,26-04-2026,pending
26,4,39,11,01-05-2026,Cancelled
27,40,22,6,2026-03-28,Cancelled
28,52,5,3,03-01-2026,delivered
29,49,27,8,12/03/2026,DELIVERED
30,11,4,3,2026-01-22,Pending
31,55,32,10,09/07/2026,pending
32,15,23,7,2026-05-22,Pending
33,40,3,4,01/01/2026,delivered
34,18,17,5,01/02/2026,Pending
35,23,9,7,17-04-2026,Cancelled
36,46,5,,14-01-2026,Delivered
37,41,37,7,23-07-2026,DELIVERED
38,15,26,1,26/03/2026,Pending
39,47,6,7,2026-04-14,pending
40,11,26,5,08-06-2026,delivered
41,10,33,11,2026-04-25,Cancelled
42,19,16,2,2026-05-07,delivered
43,10,12,11,25/08/2026,pending
44,58,37,11,28-06-2026,DELIVERED
45,20,29,2,21/08/2026,DELIVERED
46,8,23,9,2026-05-15,Delivered
47,48,19,2,20-02-2026,Pending
48,60,38,9,15-01-2026,pending
49,25,21,10,02/03/2026,cancelled
50,44,6,9,02-03-2026,Pending
51,57,34,9,12-03-2026,DELIVERED
52,50,27,6,26-01-2026,DELIVERED
53,9,22,2,10-07-2026,cancelled
54,20,22,2,12-03-2026,Cancelled
55,51,9,10,10-02-2026,Cancelled
56,43,9,11,21-02-2026,pending
57,47,2,6,07/03/2026,cancelled
58,63,13,4,2026-03-03,cancelled
59,13,33,9,22-01-2026,cancelled
60,17,39,7,2026-03-06,cancelled
61,22,29,1,22/06/2026,Pending
62,37,29,4,10-04-2026,cancelled
63,61,13,6,15-08-2026,cancelled
64,49,33,9,27/03/2026,pending
65,18,17,1,28-08-2026,Delivered
66,16,19,2,2026-05-15,delivered
67,56,6,4,01/06/2026,Pending
68,65,24,4,12/02/2026,DELIVERED
69,13,22,3,2026-01-10,Pending
70,18,31,,03-01-2026,delivered
71,20,36,12,04-07-2026,delivered
72,39,8,1,2026-07-21,Pending
73,9,8,8,21-01-2026,delivered
74,19,19,7,2026-06-08,delivered
75,11,34,6,2026-01-13,Delivered
76,50,24,5,12-01-2026,DELIVERED
77,31,7,10,05-06-2026,pending
78,44,12,11,21/08/2026,delivered
79,9,30,1,02/04/2026,Delivered
80,41,20,9,09/08/2026,Cancelled
81,25,19,6,2026-06-09,DELIVERED
82,56,26,12,11/07/2026,Pending
83,64,24,9,24/02/2026,Pending
84,24,35,5,03/02/2026,DELIVERED
85,40,29,10,06-07-2026,DELIVERED
86,58,3,12,09/07/2026,cancelled
87,8,5,11,12-07-2026,Cancelled
88,21,2,3,02-08-2026,delivered
89,47,24,7,20-01-2026,Pending
90,48,24,8,2026-03-17,DELIVERED
91,36,16,2,2026-03-16,pending
92,16,17,5,07-08-2026,DELIVERED
93,63,13,2,2026-02-15,Cancelled
94,57,6,11,23/06/2026,pending
95,38,20,3,26-03-2026,delivered
96,16,13,3,2026-08-01,pending
97,48,30,9,2026-02-03,Cancelled
98,62,34,7,05/02/2026,Cancelled
99,10,29,8,05-06-2026,cancelled
100,24,9,7,27-01-2026,delivered
101,39,11,3,12/04/2026,pending
102,37,6,5,2026-05-05,pending
103,12,33,11,2026-03-06,Cancelled
104,44,37,1,2026-02-02,cancelled
105,34,14,10,16/01/2026,pending
106,38,20,8,2026-07-10,Cancelled
107,8,11,8,15/08/2026,pending
108,19,21,12,13/06/2026,DELIVERED
109,14,21,4,09/02/2026,delivered
110,13,4,5,08/07/2026,delivered
111,42,37,12,25/04/2026,pending
112,60,32,5,03/01/2026,pending
113,59,16,4,02-06-2026,Pending
114,61,19,9,2026-02-14,DELIVERED
115,47,26,6,2026-07-02,delivered
116,47,36,5,2026-07-17,pending
117,36,40,11,05-02-2026,Pending
118,48,22,9,07/03/2026,Pending
119,65,3,1,2026-03-23,Pending
120,59,10,10,11-03-2026,DELIVERED
121,21,26,10,19-05-2026,cancelled
122,63,37,5,12/01/2026,Delivered
123,54,38,5,20-01-2026,Cancelled
124,30,4,10,17/03/2026,pending
125,49,10,11,2026-01-19,Delivered
126,25,2,8,05/07/2026,delivered
127,53,33,10,23/01/2026,delivered
128,42,31,9,06/06/2026,pending
129,44,35,6,20-05-2026,delivered
130,36,36,5,2026-05-25,delivered
131,63,21,8,10/05/2026,Cancelled
132,49,26,6,2026-05-02,Cancelled
133,11,23,8,24-05-2026,delivered
134,35,36,12,04/03/2026,pending
135,31,16,1,21-04-2026,Delivered
136,53,22,12,22/02/2026,Delivered
137,21,27,11,21/08/2026,DELIVERED
138,42,19,11,2026-02-21,pending
139,5,12,7,2026-01-27,Pending
140,24,19,1,2026-05-19,DELIVERED
141,37,30,11,05-08-2026,Pending
142,35,13,2,24/03/2026,DELIVERED
143,24,1,12,19/05/2026,delivered
144,23,40,11,17/07/2026,Pending
145,13,12,,08/06/2026,Pending
146,31,29,5,19/05/2026,Delivered
147,34,24,12,2026-01-22,DELIVERED
148,21,26,11,23-05-2026,DELIVERED
149,48,40,4,2026-03-16,Cancelled
150,48,27,12,25-08-2026,Cancelled
151,28,16,11,17-02-2026,Cancelled
152,47,5,10,2026-01-27,pending
153,26,37,9,2026-03-11,Pending
154,15,14,12,03-08-2026,Pending
155,8,30,3,15-07-2026,pending
156,60,20,12,2026-07-09,Cancelled
157,28,38,2,2026-07-12,pending
158,8,5,8,2026-05-14,delivered
159,54,24,7,13/07/2026,Cancelled
160,18,23,2,2026-07-17,delivered
161,1,2,5,18/07/2026,delivered
162,32,30,6,2026-05-07,Cancelled
163,15,3,11,08/01/2026,Delivered
164,5,29,10,08-01-2026,Pending
165,57,15,9,2026-01-05,DELIVERED
166,30,37,6,08-06-2026,delivered
167,29,27,5,18/01/2026,Cancelled
168,23,28,9,12/01/2026,Cancelled
169,49,34,6,14-07-2026,Pending
170,24,35,8,2026-04-10,delivered
171,60,4,9,18/07/2026,Pending
172,32,17,4,15/02/2026,Delivered
173,25,4,5,28/01/2026,cancelled
174,28,31,4,01/05/2026,delivered
175,16,31,4,13-04-2026,pending
176,42,19,7,10/06/2026,pending
177,64,30,2,25-08-2026,delivered
178,48,21,7,2026-04-24,DELIVERED
179,54,19,3,2026-06-08,cancelled
180,32,32,9,09-06-2026,Pending
181,63,30,3,06-06-2026,pending
182,63,12,9,17-01-2026,cancelled
183,10,4,1,27/03/2026,Delivered
184,20,1,4,12-08-2026,Cancelled
185,62,32,,2026-07-01,Cancelled
186,36,35,5,2026-07-26,delivered
187,14,7,9,2026-04-07,DELIVERED
188,46,18,7,2026-06-13,delivered
189,29,20,11,2026-01-03,Pending
190,61,4,11,2026-03-03,Pending
191,43,37,2,08-01-2026,cancelled
192,61,18,1,2026-05-18,Delivered
193,23,21,1,2026-03-25,cancelled
194,51,5,5,2026-04-19,Pending
195,43,25,12,2026-02-17,DELIVERED
196,7,7,7,2026-02-11,pending
197,51,21,1,26-05-2026,Pending
198,30,23,9,06/07/2026,Cancelled
199,49,6,10,23/04/2026,DELIVERED
200,20,25,12,24-03-2026,DELIVERED
201,14,6,1,12/08/2026,Delivered
202,17,6,3,18/08/2026,Pending
203,14,2,2,20/02/2026,DELIVERED
204,50,1,5,25/07/2026,pending
205,32,37,9,2026-07-06,DELIVERED
206,35,32,3,2026-03-14,DELIVERED
207,62,5,6,24/04/2026,pending
208,26,30,2,2026-05-01,DELIVERED
209,49,22,8,27/07/2026,Cancelled
210,18,20,6,16-04-2026,Pending
211,41,19,12,19-08-2026,DELIVERED
212,49,18,7,19/02/2026,pending
213,24,36,1,23-08-2026,cancelled
214,38,5,7,05-08-2026,delivered
215,33,10,12,03/07/2026,pending
216,62,38,7,18-07-2026,DELIVERED
217,11,7,4,06-06-2026,Delivered
218,52,22,7,2026-01-04,pending
219,29,29,6,25/08/2026,Cancelled
220,65,10,6,2026-08-04,Delivered
221,15,10,6,15/06/2026,pending
222,62,23,8,2026-08-24,DELIVERED
223,9,20,1,01-02-2026,Cancelled
224,14,11,12,2026-03-18,pending
225,55,30,4,06/03/2026,Pending
226,51,2,12,15-04-2026,Pending
227,1,14,4,19/02/2026,cancelled
228,24,24,6,2026-08-04,cancelled
229,63,34,11,20/07/2026,Delivered
230,45,23,8,27-03-2026,cancelled
231,39,40,10,2026-03-11,DELIVERED
232,15,12,6,17-03-2026,pending
233,18,37,7,16/03/2026,Cancelled
234,23,36,3,05/05/2026,cancelled
235,58,40,1,16/01/2026,cancelled
236,50,36,9,14-08-2026,Pending
237,57,32,3,2026-01-26,DELIVERED
238,5,18,4,06-05-2026,pending
239,64,36,9,2026-02-09,cancelled
240,47,35,1,18-08-2026,Pending
241,14,16,5,2026-08-09,cancelled
242,12,29,2,2026-04-26,Cancelled
243,45,40,11,20/03/2026,delivered
244,27,4,10,20/05/2026,DELIVERED
245,38,19,10,05/02/2026,cancelled
246,53,4,5,23-03-2026,delivered
247,19,21,4,16-07-2026,Cancelled
248,35,27,7,21/02/2026,cancelled
249,12,26,9,23-05-2026,DELIVERED
250,59,32,6,28-01-2026,Cancelled
251,12,30,11,28-06-2026,pending
252,51,14,7,2026-08-09,DELIVERED
253,44,36,10,2026-08-26,Cancelled
254,7,3,2,01-08-2026,cancelled
255,21,29,8,2026-07-07,delivered
256,39,11,5,2026-06-09,Cancelled
257,22,4,7,24-05-2026,delivered
258,55,6,12,2026-01-07,delivered
259,29,34,11,01/01/2026,cancelled
260,16,28,12,2026-08-03,Delivered
